nom_categorie1;nom_categorie2;nom_categorie3;nom;Conditionnement;marque;BF;BIO;upc;reference;gencod;Unite par carton;prix_unite;prix_final;weight;Hauteur ;Longueur ;Largeur ;profondeur;Nb de cartons par couche;Nb de couche par palette;NB carton/palette;DLV Theorique;DLV Garantie;etat
EPICERIE;Biscuits apéritifs;Les extrudes;Chips crevette;Le sachet de 50g;BELLE FRANCE;BF; ;2107130;46243;3258561239958;18;0.2831;5.0958;1.33;35;40;30;0.042;8;3;24;60;115;1
EPICERIE;Biscuits apéritifs;Les extrudes;Chips Rice Fusion Indian Tandoori Chiken Masala;Le tube 160g;PRINGLES;NAT; ;2109100;19547;5053990149971;9;1.2778;11.5002;1.95;24;24;24;0.013824;15;7;105;180;360;1
EPICERIE;Biscuits apéritifs;Les extrudes;Chips Rice Fusion Malaysian Red Curry;Le tube 160g;PRINGLES;NAT; ;2109110;19745;5053990149513;9;1.2778;11.5002;1.95;24;24;24;0.013824;15;7;105;180;360;1
EPICERIE;Pâtisserie industrielle;Les minis gâteaux;10 TAM-TAM Au bon chocolat l'Original;Le paquet 275g;ST MICHEL;NAT; ;2663410;5280;3178530416848;12;1.2862;15.4344;2.883;21;39;29;0.023751;8;5;40;55;80;1
EPICERIE;Biscuiterie;Les biscuits secs;Sablés Anglais;Le lot 2 paquets x 400g;MC VITIE'S;NAT; ;2720000;29363;5000168198491;12;1.1504;13.8048;9.31;32;40;24;0.03072;10;3;30;180;270;1
EPICERIE;Biscuiterie;Les galettes et palets;Galette Au bon Chocolat;Le paquet 121g;ST MICHEL;NAT; ;2804730;104083;3178530416527;20;0.7568;15.136;3.17;18;37;27;0.017982;9;6;54;120;210;1
EPICERIE;Chocolat;"Le chocolat ""spécialités adultes""";Chocolat noir 72%;La tablette 100g;VILLARS;NAT; ;6133020;103986;7610036002737;16;1.1747;18.7952;1.85;19;10;10;0.0019;27;12;324;120;270;1
EPICERIE;Confiserie;"La confiserie chocolatée ""format familial""";Les Tuiles chocolat noir extra-fin;L'étui 125g;LINDT EXCELLENCE;NAT; ;6413160;101360;3046920078306;12;2.6641;31.9692;2.07;15;38;24;0.01368;10;11;110;180;270;1
EPICERIE;Chocolat;"Le chocolat ""spécialités adultes""";Chocolat au lait suisse;La tablette 100g;VILLARS;NAT; ;6413170;103945;7610036002751;16;1.0336;16.5376;1.85;19;10;10;0.0019;27;12;324;120;270;1
EPICERIE;Confiserie;"La confiserie chocolatée ""format familial""";Billes Coeur croustillant céréales oufflées Enrobé de chocolat lait;Le sachet 140g;LINDT;NAT; ;6515150;101386;3046920047852;18;2.1641;38.9538;3.06;19;40;30;0.0228;18;8;144;180;270;1
EPICERIE;Féculents;Les riz du monde;Riz parfumé Le Kamâlis;Le paquet 500g;TAUREAU AILE;NAT; ;12321770;187682;3038359009044;12;1.5283;18.3396;6.2;15;34;16;0.00816;17;6;102;120;360;1
EPICERIE;Condiments;Les mayonnaises;Mayonnaise American Style;Le flacon souple 215g;HEINZ;NAT; ;14300650;266726;87157857;10;1.1052;11.052;2.5;15;25;14;0.00525;28;8;224;120;300;1
EPICERIE;Sauces;Les sauces condimentaires flacons;Sauce Burger;Le flacon souple 448g;AMORA;NAT; ;14503627;769422;8712566377664;12;1.462;17.544;6.1;20;33;18;0.01188;14;7;98;120;300;1
EPICERIE;Sauces;Les ketchup;Tomato Ketchup sans sucres ni sel ajoutés;Le flacon souple 425g;HEINZ;NAT; ;14506860;266866;8715700112596;10;1.4557;14.557;4.7;18;30;17;0.00918;19;7;133;120;300;1
EPICERIE;Huiles & vinaigres;Les vinaigres;Vinaigre de Vin Rouge Français;La bouteille 60cl;AMORA;NAT; ;18301070;244343;8711200451739;12;1.1778;14.1336;11.1;26;34;25;0.0221;9;4;36;120;360;1
EPICERIE;Conserves de légumes;Les petits pois;Petits pois Extra-fins;La boite 4/4 560g;D'AUCY;NAT; ;21115560;408286;3017800000793;12;1.0357;12.4284;1.2;12;41;30;0.01476;7;12;84;120;360;1
EPICERIE;Conserves de légumes;Les carottes & petits pois/carottes;Petits pois Extra-fins et carottes;La boite 4/4 - 530g;D'AUCY;NAT; ;21142020;472027;3017800003558;12;1.0357;12.4284;1.2;12;41;30;0.01476;7;12;84;120;360;1
EPICERIE;Conserves de légumes;Les légumes crudités;Asperges Blanches BIO;Le bocal 205g;ROCHEFONTAINE;NAT;BIO;21515250;461046;3255691008201;6;2.3399;14.0394;8.1;18;21;13;0.004914;26;7;182;120;360;1
EPICERIE;Conserves de poissons;Les thons;Thon Entier Grillé au Piment;La boîte 160g;SAUPIQUET;NAT; ;22221160;532507;3165950219913;12;1.8694;22.4328;2;8;26;18;0.003744;19;18;342;120;360;1
EPICERIE;Conserves de poissons;Les thons;Thon Entier Grillé avec un trait d'Huile d'Olive;La boîte 115g;SAUPIQUET;NAT; ;22221170;533729;3165950219890;12;1.8694;22.4328;2;8;26;18;0.003744;19;18;342;120;360;1
EPICERIE;Conserves de poissons;Les thons;Thon à l'huile d'olive et à l'origan;La boite 1/5;PETIT NAVIRE;NAT; ;22230510;536946;3019081240127;12;1.3431;16.1172;1.7;4;36;27;0.003888;9;34;306;120;360;1
EPICERIE;Conserves de poissons;Les thons;Thon tomates séchées;La boite 1/5;PETIT NAVIRE;NAT; ;22230520;536961;3019081235611;12;1.3431;16.1172;1.7;4;36;27;0.003888;9;34;306;120;360;1
EPICERIE;Conserves de poissons;Les autres conserves de poissons;Colin de l'Alaska au basilic;La boite 1/5;PETIT NAVIRE;NAT; ;22335700;537027;3019081238414;12;1.3368;16.0416;1.7;4;36;27;0.003888;9;34;306;120;360;1
EPICERIE;Biscuits apéritifs;Les chips à l'ancienne;Chips La Vicoise de Picardie Nature;Le sachet 150g;VICO;NAT; ;24105050;534081;3336971806066;14;1.0673;14.9422;2.49;27;40;40;0.0432;6;4;24;90;150;1
EPICERIE;Plats cuisinés;Les plats cuisinés italiens;Ravioli pur bœuf;La boite 1/2;PANZANI;NAT; ;24601540;501783;3038352880206;12;1.0526;12.6312;5.5;11;31;23;0.007843;12;7;84;120;360;1
EPICERIE;Produits animaux;"Les produits ""snacks"" pour chats";Friandises Dentalife pour chat au saumon savoureux;Le sachet 40g;PURINA;NAT; ;27205300;560383;7613036724258;8;0.7873;6.2984;0.47;18;20;10;0.0036;48;6;288;120;360;1
EPICERIE;Produits animaux;"Les produits ""snacks"" pour chats";Friandises Dentalife pour chat au poulet savoureux;Le sachet 40g;PURINA;NAT; ;27205310;560409;7613036724272;8;0.7873;6.2984;0.47;18;20;10;0.0036;48;6;288;120;360;1
LIQUIDES;Jus fruits & sirops;Les jus de légumes;Boisson au jus de tomate concentré, salé et épicé;La bouteille 75cl;TABASCO;NAT; ;30310500;570705;8710296114702;6;2.122;12.732;4.5;28;23;16;0.010304;25;4;100;90;360;1
LIQUIDES;Jus fruits & sirops;Les sirops;Sirop Ice Tea Pêche/Abricot;La bouteille 75cl;OASIS;NAT; ;30500020;608422;3217690057499;6;2.0957;12.5742;6.26;26;22;15;0.00858;25;5;125;90;300;1
LIQUIDES;Jus fruits & sirops;Les sirops;Sirop Ice Tea Mangue/Ananas;La bouteille 75cl;OASIS;NAT; ;30500030;608448;3217690057512;6;2.0957;12.5742;6.26;26;22;15;0.00858;25;5;125;90;300;1
LIQUIDES;Jus fruits & sirops;Les sirops;Sirop Ice Tea Framboise/Cassis;La bouteille 75cl;OASIS;NAT; ;30500040;608463;3217690057505;6;2.0957;12.5742;6.26;26;22;15;0.00858;25;5;125;90;300;1
LIQUIDES;Jus fruits & sirops;Les sirops;Sirop de grenadine Bio;La bouteille 50cl;BELLE FRANCE;BF;BIO;30503610;607382;3258561301099;6;1.3768;8.2608;6.2;27;21;14;0.007938;26;5;130;90;360;1
LIQUIDES;Jus fruits & sirops;Les sirops;Sirop de menthe Bio;La bouteille 50cl;BELLE FRANCE;BF;BIO;30503620;607408;3258561301075;6;1.2052;7.2312;6.2;27;21;14;0.007938;26;5;130;90;360;1
LIQUIDES;Bières;Les packs de bières d'abbaye;Bière blonde;Le pack 12 bouteilles x 25cl;ABBAYE DE LEFFE;NAT; ;31310200;650408;5410228258698;1;6.8187;6.8187;5;18;24;18;0.007776;26;8;208;120;300;1
LIQUIDES;Bières;Les boîtes de bières 50cl/pet;Bière Triple d'Abbaye;La boîte 50cl;GRIMBERGEN;NAT; ;31342410;616821;3080216052212;12;1.4999;17.9988;7.5;17;40;27;0.01836;22;5;110;120;300;1
LIQUIDES;Bières;Les bières sans alcool;Bière sans alcool aux notes de Cranberry & Romarin;Le pack 6 bouteilles x 27,5cl;TOURTEL BOTANICS;NAT; ;31540350;619809;3080216053073;4;3.7567;15.0268;11.7;22;36;24;0.019008;13;6;78;120;300;1
LIQUIDES;Bières;Les bières sans alcool;Bière sans alcool aux notes de citron vert & fleur de sureau;Le pack 6 bouteilles x 27,5cl;TOURTEL BOTANICS;NAT; ;31540360;620088;3080216053035;4;3.7567;15.0268;11.7;22;36;24;0.019008;13;6;78;120;300;1
LIQUIDES;Vin table, pays & étranger;Grands contenants;Vin gris de Pays d'Oc;Le Bib 3L;BELLE FRANCE;BF; ;33100140;634964;3258561330471;4;5.0209;20.0836;12.8;21;35;21;0.015435;11;5;55;0;0;1
LIQUIDES;Vin table, pays & étranger;IGP rosé;Terres du Midi I.G.P.;La bouteille 75cl;LES CAVES DU SOELIL 2018;NAT; ;33400310;613844;3198129886616;6;1.4062;8.4372;7.2;31;23;15;0.010695;24;5;120;0;0;1
LIQUIDES;Vin table, pays & étranger;IGP rosé;Ile de Beauté I.G.P.;La bouteille 75cl;DOMAINE DISERTO 2018;NAT; ;33400320;613869;3198129876655;6;1.9399;11.6394;7.2;31;23;15;0.010695;24;5;120;0;0;1
LIQUIDES;Vins roses;Provence rose/corse;Côtes de Provence;La bouteille 75cl;ESPRIT D'AZUR 2018;NAT; ;33420060;621243;3347600004678;6;4.0209;24.1254;8;32;24;16;0.012288;25;4;100;0;0;1
LIQUIDES;Vins roses;Provence rose/corse;Côtes de Provence;La bouteille 75cl;LE PASSE TEMPS 2018;NAT; ;33420070;626747;3760051309541;6;3.8683;23.2098;7.1;30;23;16;0.01104;25;4;100;0;0;1
LIQUIDES;Vins roses;Provence rose/corse;Côteaux d'Aix en Provence;La bouteille 75cl;EXPRESSION DE NOTRE TERROIR 2018;NAT; ;33420100;613885;3342760000126;6;3.2904;19.7424;7.5;30;24;16;0.01152;25;4;100;0;0;1
LIQUIDES;Vins roses;Provence rose/corse;Côtes de Provence;La bouteille 75cl;LE JAS DE PARETTE 2018;NAT; ;33420600;627208;3760051308704;6;3.8683;23.2098;7.1;30;23;16;0.01104;25;4;100;0;0;1
LIQUIDES;Vins roses;Provence rose/corse;Coteaux d'Aix en Provence;La bouteille 75cl;DOMAINE DALMA 2018;NAT; ;34237300;626762;3452790006538;6;3.1599;18.9594;8;31;23;16;0.011408;25;4;100;0;0;1
LIQUIDES;Mousseux & champagnes;Les champagnes;Champagne brut;La bouteille 75cl;VRANKEN DEMOISELLE;NAT; ;35111500;530345;3253958000012;6;17.6531;105.9186;10.6;21;33;25;0.017325;10;7;70;0;0;1
LIQUIDES;Mousseux & champagnes;Les mousseux;Prosecco;Le pack 3 bouteilles x 20cl;RICCADONNA;NAT; ;35300110;590562;8000368918742;8;5.5093;44.0744;10.2;23;34;24;0.018768;10;7;70;0;0;1
LIQUIDES;Alcools & spiritueux;Les cocktails & liqueurs;Cognac 40°;La boiteille 70cl;HENNESSY;NAT; ;37123230;645267;3245990250203;6;20.1198;120.7188;7.6;27;31;21;0.017577;12;6;72;0;0;1
LIQUIDES;Alcools & spiritueux;Les whisky d'âge & pur malt;Single Malt Scotch Whisky;La bouteille 70cl + ETUI;BOWMORE;NAT; ;37700030;640029;5010496004685;6;10.2632;61.5792;9.9;33;27;18;0.016038;18;5;90;0;0;1
LIQUIDES;Alcools & spiritueux;Les whisky d'âge & pur malt;Single Malt Scotch Whisky;La bouteille 70cl;TALISKER SKYE;NAT; ;37700510;756247;5000281038094;6;17.9557;107.7342;7.9;32;30;20;0.0192;11;5;55;0;0;1
PRODUITS FRAIS;Panification;Les americains;4 pains Burger Création Nature;L'étui 260g;JACQUET;NAT; ;40100220;724021;3029330070054;5;1.1599;5.7995;1.96;24;30;24;0.01728;8;7;56;40;50;1
PRODUITS FRAIS;Panification;Pain de mie;Pain de mie nature L'Original;Le paquet 450g;JACQUET;NAT; ;40100320;660027;3029330001010;8;0.6262;5.0096;2.9;20;28;30;0.0168;8;9;72;10;13;1
PRODUITS FRAIS;Panification;Les americains;Pain de mie Nature;Le paquet 550g;JACQUET;NAT; ;40100660;660068;3029330003403;6;0.862;5.172;3.62;20;40;30;0.024;8;8;64;10;13;1
PRODUITS FRAIS;Panification;Les americains;Pain de mie Complet;Le paquet 550g;JACQUET;NAT; ;40100680;660084;3029330003458;6;0.9041;5.4246;7.1;20;39;30;0.0234;8;8;64;9;11;1
PRODUITS FRAIS;Panification;Les americains;4 pains Burger Géant Nature;Le paquet 330g;JACQUET;NAT; ;40100840;660381;3029330066484;10;0.7883;7.883;2.8;20;39;30;0.0234;8;10;80;42;45;1
PRODUITS FRAIS;Panification;Les allemands;Vollkornbrot (pain complet);Le pain de 500g;JACQUET;NAT; ;40101200;660704;3029330004233;6;1.0589;6.3534;2.8;13;40;30;0.0156;8;15;120;9;11;1
PRODUITS FRAIS;Panification;Pain de mie;36 Toasts ronds Nature;Le sachet 250g;JACQUET;NAT; ;40101460;660787;3029330011040;10;0.922;9.22;2.9;15;40;20;0.012;8;13;104;9;12;1
PRODUITS FRAIS;Panification;Pain de mie;La Boule à la farine Complète;Le sachet 350g;JACQUET;NAT; ;40101540;519488;3029330068273;6;1.1831;7.0986;2.2;14;60;16;0.01344;6;12;72;38;40;1
PRODUITS FRAIS;Panification;Les campagnes;Le Pain spécial à la farine de seigle BON AP';Le paquet 500g;JACQUET;NAT; ;40101550;660928;3029330004240;5;0.9957;4.9785;2.8;15;39;30;0.01755;8;11;88;9;11;1
PRODUITS FRAIS;Panification;Pain de mie;36 Toasts ronds Briochés;Le sachet 250g;JACQUET;NAT; ;40102200;661405;3029330001652;10;0.9694;9.694;2.7;14;40;30;0.0168;8;13;104;15;18;1
PRODUITS FRAIS;Panification;Les americains;Crousti Moelleux Nature;Le sachet 730g;JACQUET;NAT; ;40102350;661504;3029330003526;7;1.1241;7.8687;5.35;14;60;40;0.0336;4;12;48;10;13;1
PRODUITS FRAIS;Panification;Pain de mie;4 Baguettines Viennoise Nature;Le sachet 340g;JACQUET;NAT; ;40102500;530881;3029330067054;8;0.9631;7.7048;2.9;20;28;30;0.0168;8;9;72;17;19;1
PRODUITS FRAIS;Panification;Les autres pains;Baguette précuite ;La baguette 250g;JACQUET;NAT; ;40300060;661884;3029330002406;12;0.5715;6.858;2.34;25;40;24;0.024;10;7;70;25;30;1
PRODUITS SURGELES;Glace detente-specialite;-;"""Extrême"" Conne Vanille";La boite de 4;NESTLÉ;NAT; ;41200780;999300;7613036833929;6;2.2294;13.3764;1.7;12;40;30;0.0144;10;15;150;180;360;1
PRODUITS SURGELES;Glace detente-specialite;-;6 mini glaces à l'eau Pirulo Mix;L'étui 300g;NESTLE;NAT; ;41200790;999326;3274667005341;10;1.7788;17.788;3;15;40;30;0.018;7;10;70;180;360;1
PRODUITS SURGELES;Glace detente-specialite;-;5 glaces à l'eau Pirulo Happy;L'étui 350g;NESTLE;NAT; ;41204200;995167;7613034522146;6;1.601;9.606;2.5;20;26;20;0.0104;16;8;128;180;360;1
PRODUITS SURGELES;Glace detente-specialite;-;10 Bâtonnets Sorbet Multifruits;L'étui 400g;OASIS;NAT; ;41207510;993485;3251512810008;10;1.7262;17.262;4;33;28;23;0.021252;14;5;70;180;360;1
PRODUITS SURGELES;Snacks;-;Pizza Ristorante Piccola Mozzarella;L'étui 2 x 155g;DR OETKER;NAT; ;41457210;590604;4001724834205;5;1.8852;9.426;1.97;18;18;26;0.008424;19;9;171;180;360;1
PRODUITS SURGELES;Snacks;-;Pizza Ristorante Piccola Salame;L'étui 2 x 140g;DR OETKER;NAT; ;41457220;590687;4001724834007;5;1.8852;9.426;1.8;18;18;26;0.008424;19;9;171;180;360;1
PRODUITS SURGELES;Frites-garnitures&purees;-;Churros de pomme de terre Nature;Le sachet 600g;FINDUS;NAT; ;41622010;947325;3599741004967;8;1.9167;15.3336;5.2;25;40;26;0.026;9;7;63;180;360;1
ENTRETIEN;Insecticides;-;6 Stickers Vitres Anti-Mouches;Le paquet;PYREL;NAT; ;41624350;741967;5000204707939;24;2.5862;62.0688;1.1;16;12;22;0.004224;42;4;168;0;0;1
PRODUITS SURGELES;Entrees;-;Tartes du Monde L'Italienne Tomates cerises Mozzarella Pesto;L'étui 370g;MARIE;NAT; ;41800970;941385;3248830000044;6;2.262;13.572;2.8;19;27;27;0.013851;18;6;108;180;360;1
PRODUITS FRAIS;Yaourt nature;-;Yaourt nature SKYR;Le pack 2 pots x 140g;LES DANONE DU MONDE;NAT; ;42210150;665208;3033491270864;5;1.3715;6.8575;1.65;8;40;8;0.00256;14;22;308;15;21;1
PRODUITS FRAIS;Ultra frais bio;-;Yaourt brassé à la Grecque;Le pot 450g;LES 300 & BIO;NAT; ;42213450;829846;3523230046886;6;1.2347;7.4082;2.9;14;31;20;0.00868;16;9;144;15;21;1
PRODUITS FRAIS;Ultra frais bio;-;Yaourt Nature 0% M.G;Le pack 4 pots x 125g;LES 300 & BIO;NAT;BIO;42213460;713040;3523230046688;6;0.7241;4.3446;3.3;7;39;27;0.007371;9;20;180;15;21;1
PRODUITS FRAIS;Yaourt aux fruits;Yaourt fruits lait 1/2 ecreme;Yaourt à la Grecque OIKOS Ananas Fruit de la Passion;Le pack 2 pots x 115g;DANONE;NAT; ;42230700;671586;3033491348617;6;1.2073;7.2438;1.6;10;27;20;0.0054;18;18;324;15;21;1
PRODUITS FRAIS;Yaourt aux fruits;Yaourt fruits lait 1/2 ecreme;Yaourt à la Grecque OIKOS Figue Pomme Canelle;Le pack 2 pots x 115g;DANONE;NAT; ;42230710;671644;3033491348501;6;1.2073;7.2438;1.6;10;27;20;0.0054;18;18;324;15;21;1
PRODUITS FRAIS;Yaourt aux fruits;Yaourt fruits lait 1/2 ecreme;Le Liégois au Yaourt lit de Fraises LA LAITIERE;Le pack 4 pots x 100g;NESTLE;NAT; ;42235700;670828;3023290013267;6;1.4346;8.6076;2.5;9;40;27;0.00972;9;17;153;15;21;1
PRODUITS FRAIS;Yaourt aux fruits;Yaourt fruits lait 1/2 ecreme;Le Liégois au Yaourt lit de Pêches LA LAITIERE;Le pack 4 pots x 100g;NESTLE;NAT; ;42235710;670927;3023290013281;6;1.4346;8.6076;2.5;9;40;27;0.00972;9;17;153;15;21;1
PRODUITS FRAIS;Yaourt aux fruits;Yaourt fruits lait 1/2 ecreme;Le Liégois au Yaourt lit de Cerises LA LAITIERE;Le pack 4 pots x 100g;NESTLE;NAT; ;42235720;670943;3023290024133;6;1.4346;8.6076;2.5;9;40;27;0.00972;9;17;153;15;21;1
PRODUITS FRAIS;Ultra frais bio;-;Yaourt brassé Abricot Pêche;Le pack 4 pots x 125g;LES 300 & BIO;NAT;BIO;42236300;570721;3523230046749;6;1.1452;6.8712;3.3;7;39;27;0.007371;9;20;180;15;21;1
PRODUITS FRAIS;Ultra frais bio;-;Yaourt brassé Mûre Myrtille;Le pack 4 pots x 125g;LES 300 & BIO;NAT;BIO;42236310;570747;3523230046725;6;1.1452;6.8712;3.3;7;39;27;0.007371;9;20;180;15;21;1
PRODUITS FRAIS;Yaourt aux fruits;Yaourt fruits lait 1/2 ecreme;Yaourts au fruits panachés Fraise/Ananas/Cerise/Pèche;le pack de 4x125g;BELLE FRANCE;BF; ;42238590;680264;3258561420486;12;0.7736;9.2832;6.5;14;40;27;0.01512;9;12;108;15;21;1
PRODUITS FRAIS;Yaourt a boire;-;Nature;Le pack 6 x 100g;ACTIMEL;NAT; ;42250090;534222;3033491460869;4;1.8083;7.2332;2.7;11;30;20;0.0066;16;16;256;16;21;1
PRODUITS FRAIS;Yaourt a boire;-;Saveur Fraise;Le pack 6 x 100g;ACTIMEL;NAT; ;42250100;534347;3033491460852;4;1.8083;7.2332;2.7;11;30;20;0.0066;16;16;256;16;21;1
PRODUITS FRAIS;Ultra frais bio;-;Crème dessert au Chocolat;Le pack 4 pots x 95g;LES 300 & BIO;NAT;BIO;42260800;756981;3523230046800;6;1.0568;6.3408;2.55;6;40;30;0.0072;8;26;208;15;21;1
PRODUITS FRAIS;Ultra frais bio;-;Crème dessert saveur Vanille;Le pack 4 pots x 95g;LES 300 & BIO;NAT;BIO;42260810;757005;3523230046824;6;1.0568;6.3408;2.55;6;40;30;0.0072;8;26;208;15;21;1
PRODUITS FRAIS;Creme fraiche;-;CREME FRAICHE 200G BURGOS CREME FRAICHE 200G  FLOR BURGOS;Le pot de 200g;FLOR DE BURGOS;NAT; ;42310900;676940;8436039431355;12;0.5673;6.8076;2.4;10;35;26;0.0091;9;14;126;40;60;1
PRODUITS FRAIS;Fromage frais;-;Fromage frais aux Fraises;Le pot 500g;ISIGNY STE MERE;NAT; ;42354600;548420;3254550047535;6;1.6167;9.7002;3.2;9;39;27;0.009477;9;16;144;15;21;1
PRODUITS FRAIS;Fromage frais;-;Fromage Frais aux Framboises;Le pot 500g;ISIGNY STE MERE;NAT; ;42354610;548446;3254550047528;6;1.6167;9.7002;3.2;9;39;27;0.009477;9;16;144;15;21;1
PRODUITS FRAIS;Fromage pate fraiche aromatisee;-;Bouchées de fromage à l'Ail et aux Fines Herbes;L'étui 100g;APERIVRAIS;NAT; ;42401960;683581;3480341000261;6;1.5799;9.4794;0.84;14;19;16;0.004256;30;10;300;16;28;1
PRODUITS FRAIS;Fromage chevre et brebis;-;Chèvre & Salade;L'étui 120g;SOIGNON;NAT; ;43361530;683540;3523230049252;8;1.4052;11.2416;1.5;10;39;25;0.00975;9;14;126;30;40;1
PRODUITS FRAIS;Fromage chevre et brebis;-;Chèvre & Salade Ail et fines herbes;L'étui 120g;SOIGNON;NAT; ;43361540;683565;3523230049238;8;1.4052;11.2416;1.5;10;39;25;0.00975;9;14;126;30;40;1
PRODUITS FRAIS;Fromage chevre et brebis;-;Fromage 100% Brebis Herbes de Provence;Le bocal 300g;SALAKIS;NAT; ;43361690;591487;3023260005872;6;2.0452;12.2712;2;11;29;20;0.00638;24;12;288;60;80;1
